numero_boletim;data hora_boletim;data_inclusao;tipo_acidente;desc_tipo_acidente;cod_tempo;desc_tempo;cod_pavimento;pavimento;cod_regional;desc_regional;origem_boletim;local_sinalizado;velocidade_permitida;coordenada_x;coordenada_y;hora_informada;indicador_fatalidade;valor_ups;descricao_ups;data_alteracao_smsa;valor_ups_antiga;descricao_ups_antiga;ano;mes;lat;lon
9;31/12/2011 21:35;14/02/2012 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;26;VENDA NOVA     ;NI             ;NÃO INFORMADO;0;60643717.0;81070137.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;12;inf;inf
198;01/01/2011 00:50;10/02/2011 00:00; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;19;CENTRO-SUL     ;PMMG           ;NÃO INFORMADO;0;60987128.0;79731533.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
223;01/01/2011 00:20;10/02/2011 00:00; H04000;QUEDA DE PESSOA DE VEICULO                        ;1;BOM            ;1;ASFALTO        ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;61411252.0;79710700.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
246;31/12/2011 23:39;09/01/2012 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;20;LESTE          ;NI             ;NÃO INFORMADO;0;61403481.0;79729531.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;12;inf;inf
343;31/12/2011 22:27;14/02/2012 00:00; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;61642859.0;79825376.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;12;inf;inf
442;09/07/2011 23:35;24/08/2011 00:00; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;PMMG           ;NÃO INFORMADO;0;60897962.0;80553664.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;07;inf;inf
445;09/10/2011 14:20;29/12/2011 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;0;NAO INFORMADO  ;0;NAO INFORMADO  ;25;PAMPULHA       ;NI             ;NÃO INFORMADO;0;60942867.0;80254983.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;10;inf;inf
446;15/12/2011 21:20;29/12/2011 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;0;NAO INFORMADO  ;1;ASFALTO        ;26;VENDA NOVA     ;NI             ;NÃO INFORMADO;0;60941445.0;81015570.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;12;inf;inf
715;01/01/2011 00:10;03/01/2011 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;20;LESTE          ;PMMG           ;NÃO INFORMADO;0;61734246.0;79685801.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
819;01/01/2011 01:55;10/02/2011 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;60205078.0;79069556.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
1111;01/01/2011 04:24;10/02/2011 00:00; H06002;ATROPELAMENTO DE PESSOA SEM VITIMA FATAL          ;1;BOM            ;1;ASFALTO        ;23;NORTE          ;PMMG           ;NÃO INFORMADO;0;61224849.0;80602797.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
1542;01/01/2011 05:00;02/08/2011 00:00; H02002;CAPOTAMENTO/TOMBAMENTO COM VITIMA                 ;4;NUBLADO        ;4;CALCAMENTO     ;21;NORDESTE       ;NI             ;NÃO INFORMADO;0;61103942.0;79980071.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
1644;01/01/2011 07:50;04/01/2011 00:00; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;21;NORDESTE       ;PMMG           ;NÃO INFORMADO;0;61206150.0;80112996.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
1868;01/01/2011 10:00;03/01/2011 00:00; H09002;COLISAO DE VEICULOS COM VITIMA                    ;1;BOM            ;1;ASFALTO        ;25;PAMPULHA       ;PMMG           ;NÃO INFORMADO;0;60960048.0;80206191.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
2117;01/01/2011 11:40;10/02/2011 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;22;NOROESTE       ;PMMG           ;NÃO INFORMADO;0;60431756.0;79457971.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
2703;01/01/2011 15:50;10/02/2011 00:00; H01002;ABALROAMENTO COM VITIMA                           ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;60390024.0;78983429.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
2952;01/01/2011 10:45;03/01/2011 00:00; H08002;CHOQUE MECANICO COM VITIMA                        ;1;BOM            ;1;ASFALTO        ;18;BARREIRO       ;PMMG           ;NÃO INFORMADO;0;60047296.0;78917452.0;SIM;NÃO;5;ACIDENTE COM VÍTIMA NÃO FATAL;00/00/0000;0;NÃO INFORMADO;2011;01;inf;inf
